ENTIDADE;ENTIDADE PRINCIPAL;ESTRUTURA ORGANIZACIONAL;COMPETENCIAS;ENDERECO;BAIRRO;CEP;COMPLEMENTO;TELEFONE FIXO;TELEFONE CELULAR;FAX;ENDERECO ELETRONICO;SITE DA ENTIDADE;HORARIO DE ATENDIMENTO;CONTATO ELETRONICO;NOME RESPONSAVEL;CONTATO ELETRONICO RESPONSAVEL;TELEFONE FIXO RESPONSAVEL;TELEFONE CELULAR RESPONSAVEL;E-SIC;
PREFEITURA DE ARCOS;;;Compete aos Municípios:  I – legislar sobre assuntos de interesse local;  II – suplementar a legislação federal e a estadual no que couber;  III – instituir e arrecadar os tributos de sua competência, bem como aplicar suas rendas, sem prejuízo da obrigatoriedade de prestar contas e publicar balancetes nos prazos fixados em lei;  IV – criar, organizar e suprimir distritos, observada a legislação estadual;  V – organizar e prestar, diretamente ou sob regime de concessão ou permissão, os serviços públicos de interesse local, incluído o de transporte coletivo, que tem caráter essencial;  VI – manter, com a cooperação técnica e financeira da União e do Estado, programas de educação infantil e de ensino fundamental;   VII – prestar, com a cooperação técnica e financeira da União e do Estado, serviços de atendimento à saúde da população;  VIII – promover, no que couber, adequado ordenamento territorial, mediante planejamento e controle do uso, do parcelamento e da ocupação do solo urb;RUA GETULIO VARGAS, 228;CENTRO;35588-000;;(37) 3359-7900;;;prefeito@arcos.mg.gov.br;;12h às 18h;;Wellington Francelli Estevão Rodrigues Roque;prefeito@arcos.mg.gov.br;(37) 3359-7900;;undefined;
Fundação Municipal de Saúde e Assistência de Arcos - FUMUSA;;;Incumbe a coordenação e execução das políticas de saúde, através de ações e medidas de promoção e proteção da saúde da população, prestando assistência médico-ambulatorial e hospitalar, pronto atendimento, saúde de atenção básica e PSF´s.;Rua 25 de dezembro, 20;CENTRO;35588-000;;(37) 3351-1875;;;gestorsaude@arcos.mg.gov.br;;07h às 16h;;Aline Maria Correia Arantes;gestorsaude@arcos.mg.gov.br;(37) 3351-1875;;undefined;
Secretaria Municipal de Administração;;;Tem o objetivo de formular e promover políticas de Gestão de Pessoas, documentos e patrimônios. Também é responsável pelas compras, contratos e convênios realizadas pelo Município e de cuidar da elaboração e montagem da folha de pagamento dos servidores públicos.  ;Rua Getúlio Vargas, 228;Centro;35598-018;;(37) 3359-7938;;;;;12h às 18h;;Marlon Batista da Costa;secretariadeadministracao@arcos.mg.gov.br;(37) 3359-7938;;undefined;
Secretaria Municipal de Fazenda;;;A Secretaria Municipal de Fazenda tem como objetivo planejar e executar a política financeira, tributária e contábil do município, buscando garantir o equilíbrio entre receitas e despesas, através da modernização dos serviços prestados pela secretaria, necessários para garantir do desenvolvimento do município e, conseqüentemente, aprimorar a qualidade dos serviços prestados à coletividade. ;Rua Getúlio Vargas, 228;Centro;35598-018;;(37) 3359-7934;;;secretariadefazenda@arcos.mg.gov.br;;12h às 18h;;Cláudia Cardoso Soares;secretariadefazenda@arcos.mg.gov.br;(37) 3359-7934;;undefined;
Secretaria Municipal de Educação;;;Responsável pela educação no município, a secretaria desenvolve importantes programas e obras para proporcionar um ensino público de qualidade. ;Av. Yolando Sebastião Logli, 255 ;Centro;35588-000;;(37) 3352-1065;;;semed@educação.gov.br;;12 às 18H;;Lilian Teixeira Garcia Gomes;semed@educacao.arcos.mg.gov.br;(37) 3352-1063;;undefined;
Secretaria Municipal de Cultura, Lazer e Turismo;;;Promover o desenvolvimento humano através da Cultura, dando direito a todos os cidadãos de divulgar os bens culturais. Atender a demanda artística e de memória da cidade. Tem o objetivo de fomentar práticas esportivas formais e não formais, realizando estudos para desenvolver o esporte e lazer no Município. A secretaria também é responsável por supervisionar e coordenar as práticas do Sistema Educacional de Esporte.  Formular, implementar, executar, avaliar e fiscalizar as políticas, programas, projetos e demais ações pertinentes ao Município para o desenvolvimento do turismo. ;Rua Joaquim Murtinho s/n;Sao José;35588-000;;(37) 3352-1206;;;semcelt@arcos.mg.gov.br;;08 às 18H;secretariadeesporte@arcos.mg.gov.br;Maria Eduarda Rodrigues Mateus Costa;secretariadeesporte@arcos.mg.gov.br;(37) 3352-2586;;undefined;
Secretaria Municipal de Obras e Serviço Públicos;;;A Secretaria de Obras e Serviços Públicos tem por objetivo programar, planejar, controlar, fiscalizar e executar as obras municipais, construindo e conservando as vias e logradouros públicos.;Rua Getúlio Vargas, 228;Centro;35598-018;;(37) 3359-7910;;;;;12h às 18h;;Rodolfo Geraldo Dalariva Silva;secretariadeobras@arcos.mg.gov.br;(37) 3359-7910;;undefined;
Secretaria Municipal de Planejamento e Desenvolvimento Econômico;;;Tem como função coordenar os processos de elaboração e execução dos instrumentos de planejamento do Município. Também é responsável pelo sistema de informações técnicas e processamento de dados, realizando atividades para a organização do espaço econômico. Formular e implementar políticas públicas voltadas para a valorização da cidadania, geração do trabalho, emprego e renda.;Rua Getúlio Vargas, 228;Centro;35598-018;;(37) 3359-7943;;;;;12h às18h;;Marlon Batista da Costa;secretariaplanejamento@arcos.mg.gov.br;(37) 3359-7933;;undefined;
Secretaria Municipal de Desenvolvimento e Integração Social;;;Contribuir para efetivação da Política de Assistência Social como política pública garantidora de direitos de cidadania e promotora de desenvolvimento social, na perspectiva da prevenção, superação das desigualdades e exclusão social, tendo a família como unidade de atenção para a concepção e a implementação de programas, projetos, benefícios e serviços. ;Rua Major Valeriano Macedo, 265;Centro;35588-000;;(37) 3352-2667;;;semdis@arcos.mg.gov.br;;08h às18h;;Ronaldo Gaspar Ribeiro;secretariodeintegracaosocial@arcos.mg.gov.br>;(37) 3352-2667;;undefined;
Secretaria Municipal de Saúde;;;Incumbe a coordenação e execução das políticas de saúde, através de ações e medidas de promoção e proteção da saúde da população, prestando assistência médico-ambulatorial e hospitalar, pronto atendimento, saúde de atenção básica e PSF´s.;Rua 25 de dezembro, 20;Centro;35588-000;;(37) 3351-1875;;;gestorsaude@arcos.mg.gov.br;;07h às 16h;;Aline Maria Correia Arantes;gestorsaude@arcos.mg.gov.br;(37) 3351-1875;;undefined;
