 Como verificar os salários pelo Portal da Transparência?;Basta acessar o menu "Gestão de Pessoas" e depois clicar em "Salários por Colaborador". Na tela que se abre a seguir você poderá usar os filtros como a busca por um cargo, lotação ou o nome do servidor. Depois basta clicar no botão gerar. ;
 Sou servidor, como posso emitir meu contracheque?;Para emitir seu contracheque você pode acessar o site da Prefeitura (https://arcos.mg.gov.br/), clicar no menu "Publicações", e em seguida selecionar o Portal referente à sua lotação, Prefeitura Municipal ou Fumusa. A tela de login do sistema será aberta, basta entrar com seus dados e clicar em "contracheque online". Nessa opção poderá ser consultado os dados do mês atual ou anteriores.;
 Como posso emitir a segunda via de IPTU?;Para emitir a segunda via do IPTU, você pode acessar o site da Prefeitura de Arcos, clicar no menu "Serviços" e em seguida em "2ª via IPTU". Na janela seguinte entre com seu CPF ou CNPJ e clique em consultar.;
Qual o objetivo da Transparência Ativa?;Demonstrar, sem qualquer tipo de requerimento, informações de interesse geral dos órgãos e entidades do setor público através de meios de comunicação de amplo acesso como a Internet, promovendo a participação dos cidadãos no acompanhamento da gestão.;
Existe restrição de acesso ao portal?;Não. As informações disponibilizadas no portal podem ser acessadas por qualquer cidadão, assim como sua impressão e armazenamento para análise em outros aplicativos.;
 Como posso solicitar a troca de lâmpadas de iluminação pública?;Para solicitar a troca de lâmpadas de iluminação pública você pode entrar no site da Prefeitura de Arcos, clicar no menu "Serviços" e depois em "Iluminação Pública". Fazer um breve cadastro e descrever a sua solicitação.;
 Onde encontro os telefones das secretarias e setores da Prefeitura?;Acesse o site da Prefeitura de Arcos (https://arcos.mg.gov.br), vá até o menu serviços e clique em Telefones Úteis. Será aberta uma nova tela contendo a lista de telefones úteis.;
Qual a fundamentação legal?;A transparência do portal está amparada na Lei Complementar 131, promulgada em 27 de maio de 2009. Ela modificou a redação dada na Lei de Responsabilidade Fiscal determinando a divulgação, em tempo real, de informações da execução orçamentária e financeira nas três esferas (União, Estados e Município) e nos três poderes (Executivo, Legislativo e Judiciário).;
Que informações são disponibilizadas para consulta?;Conforme a Lei Complementar 131/2009, o portal disponibiliza as seguintes informações: Referente as receitas: lançamento e recebimento de toda a receita das unidades gestoras, inclusive no que se refere a recursos extraordinários. Referente as despesas: todos os atos praticados pelas unidades gestoras no decorrer da execução da despesa, no momento de sua realização com, no mínimo, número do processo correspondente, bem fornecido ou serviço prestado, pessoa física ou jurídica beneficiária do pagamento e procedimento licitatório realizado (quando for o caso).;
Existem informações adicionais?;Sim. Para melhorar o entendimento dos dados exigidos pela Lei Complementar 131/2009. O portal exibe informações complementares de processos licitatórios realizados e em andamento, instrumentos contratuais celebrados, transferências financeiras entre entidades da mesma esfera de governo, valores da folha de pagamento, relação dos servidores, relação de bens patrimoniais, movimentação do estoque, informações organizacionais e publicação de documentos;
Qual a origem dos dados?;A informação disponibilizada no portal tem origem nos Sistemas de Gestão Financeira, Tributária, Pessoal e Compras da entidade.;
Com que frequência ocorre a atualização dos dados?;O processo de atualização ocorre diariamente e, de acordo com o decreto 7.185/2010, a divulgação em tempo real se refere a divulgação das informações em meio eletrônico de amplo acesso até o primeiro dia útil subsequente a data do registro contábil no Sistema de Gestão da Entidade.;
Posso fazer a busca de uma informação específica?;Sim, através do recurso de pesquisa disponível em todo o portal e nos filtros localizados em cada uma das consultas existentes.;
 O que são as vacinas?;As vacinas são substâncias biológicas que tem finalidade de induzir a resposta imunológica (imunidade adquirida ativa) do organismo, com o objetivo de proteger o indivíduo contra uma determinada doença (profilática) ou evitar que ela se desenvolva de maneira severa (terapêutica).;
 Como as vacinas funcionam?;As vacinas ajudam o sistema de defesa da pessoa a combater infecções de maneira mais eficiente, provocando uma resposta imunológica do corpo a doenças específicas. Assim, se um micro-organismo patogênico invadir o corpo dessa pessoa no futuro, o sistema imunológico dela já saberá como combate-lo.;
 Qual a importância das vacinas?;As vacinas previnem a doença, a incapacidade e a morte por doenças evitáveis através da vacinação, tais como o câncer do colo do útero, a poliomielite, o sarampo, a rubéola, a parodite, a difteria, o tétano, a tosse convulsa, a hepatite A e B, as pneumonias bacterianas, as doenças diarreicas por rotavírus e a meningite bacteriana. <br> As vacinas estimulam o sistema imunitário do organismo a proteger a pessoa contra infecções ou doenças. À medida que mais indivíduos em uma comunidade são vacinados, menos pessoas ficam vulneráveis.;
 As vacinas são seguras?;Todas as vacinas passam por rigorosos testes de segurança e qualidade, incluindo estudos clínicos, antes de serem aprovadas para o público. <br> A maioria das reações são geralmente pequenas e temporárias, como dor ou rubor (vermelhidão) no local da injeção. Reações mais graves são extremamente raras e cuidadosamente monitoradas e investigadas. É muito mais provável que uma pessoa adoeça gravemente por uma enfermidade evitável pela vacina do que pela própria vacina. A doença poliomielite, por exemplo, pode causar paralisia; o sarampo pode causar encefalite e cegueira; e algumas doenças preveníveis por meio da vacinação podem até resultar em morte.;
 O que é dengue?;A dengue é a arbovirose urbana mais prevalente nas Américas, principalmente no Brasil. É uma doença febril que tem se mostrado de grande importância em saúde pública nos últimos anos. O vírus dengue (DENV) é um arbovírus transmitido pela picada da fêmea do mosquito Aedes aegypti e possui quatro sorotipos diferentes (DENV-1, DENV-2, DENV-3 e DENV-4). <br>  <br>  O período do ano com maior transmissão da doença ocorre nos meses mais chuvosos de cada região, geralmente de novembro a maio. O acúmulo de água parada contribui para a proliferação do mosquito e, consequentemente, maior disseminação da doença. É importante evitar água parada, todos os dias, porque os ovos do mosquito podem sobreviver por um ano no ambiente. <br>  Todas as faixas etárias são igualmente suscetíveis à doença, porém as pessoas mais velhas e aquelas que possuem doenças crônicas, como diabetes e hipertensão arterial, têm maior risco de evoluir para casos graves e outras complicações que podem levar à morte.;
 Quais são os sintomas da dengue?;Os principais sintomas da dengue são: <br> Febre alta > 38°C; <br> Dor no corpo e articulações; <br> Dor atrás dos olhos; <br>  Mal-estar; <br> Falta de apetite; <br> Dor de cabeça; <br> Manchas vermelhas no corpo. <br> No entanto, a infecção por dengue pode ser assintomática (sem sintomas), apresentar quadro leve, sinais de alarme e de gravidade. <br>  <br> Normalmente, a primeira manifestação da dengue é a febre alta (>38°C), de início abrupto, que geralmente dura de 2 a 7 dias, acompanhada de dor de cabeça, dores no corpo e articulações, além de prostração, fraqueza, dor atrás dos olhos, e manchas vermelhas na pele. Também podem acontecer erupções e coceira na pele. <br>  <br> Fique atento aos sinais e sintomas da dengue. <br> Ao apresentar os sintomas, é importante procurar um serviço de saúde para diagnóstico e tratamento adequados, todos oferecidos de forma integral e gratuita por meio do Sistema Único de Saúde (SUS).;
 Como ocorre a transmissão do vírus da dengue?;O vírus da dengue (DENV) pode ser transmitido ao homem principalmente por via vetorial, pela picada de fêmeas de Aedes aegypti infectadas, no ciclo urbano humano–vetor–humano. Os relatos de transmissão por via vertical (de mãe para filho durante a gestação) e transfusional são raros.;
 O que é chikungunya?;É uma arbovirose transmitida pela picada do mosquito do gênero Aedes aegypti infectado. <br>  Destaca-se que a doença pode evoluir em três fases: <br> Febril ou aguda: tem duração de 5 a 14 dias; <br> Pós-aguda: tem um curso de até 3 meses; <br> Crônica: Se os sintomas persistirem por mais de 3 meses após o início da doença, considera-se instalada a fase crônica. <br>  Em mais de 50% dos casos, a artralgia (dor nas articulações) torna-se crônica, podendo persistir por anos.;
 Quais são os sinais e sintomas da chikungunya?;Os principais sintomas são febre alta de início rápido, dores intensas nas articulações dos pés e mãos. Além de dedos, tornozelos e pulsos. Pode ocorrer ainda dor de cabeça, dores nos músculos e manchas vermelhas na pele.;
 Como ocorre a transmissão do vírus da chikungunya?;O vírus da dengue (DENV) pode ser transmitido ao homem principalmente por via vetorial, pela picada de fêmeas de Aedes aegypti infectadas, no ciclo urbano humano–vetor–humano. Os relatos de transmissão por via vertical (de mãe para filho durante a gestação) e transfusional são raros.;
 O que é Zika?;É uma arbovirose causada pelo vírus Zika (ZIKV). Arboviroses são doenças causadas por vírus (arbovírus) transmitidos por meio da picada de mosquitos infectados da espécie Aedes aegypti. <br> A maioria das infecções pelo Zika Virus são assintomáticas ou representam uma doença febril autolimitada semelhante às infecções por chikungunya e dengue. Entretanto, a associação da infecção viral com complicações neurológicas como microcefalia congênita e síndrome de Guillain-Barré (SGB) foi demonstrada por estudos realizados durante surtos da doença no Brasil e na Polinésia Francesa. ;
 Quais são os sinais e sintomas da Zika?;A infecção pelo vírus Zika pode ser assintomática ou sintomática. Quando sintomática, pode apresentar quadro clínico variável, desde manifestações brandas e autolimitadas até complicações neurológicas e malformações congênitas. Estudos recentes indicam que mais de 50% dos pacientes infectados por Zika tornam-se sintomáticos. O período de incubação da doença varia de 2 a 7 dias. <br>  Manifestações mais comuns: <br> Febre baixa (=38,5 ºC) ou ausente; <br> Exantema (geralmente pruriginoso e maculopapular craniocaudal) de início precoce; <br> Conjuntivite não purulenta; <br> Cefaleia, artralgia, astenia e mialgia; <br> Edema periarticular, linfonodomegalia. <br>  Além da manifestação clínica exantemática febril leve da infecção pelo ZIKV, o prurido é um sintoma importante durante o período agudo, podendo afetar as atividades cotidianas e o sono. <br> Duas complicações neurológicas graves relacionadas ao ZIKV foram identificadas: Síndrome de Guillan-Barré (SGB), uma condição rara em que o sistema imunológico de uma pessoa ataca os nervos periféricos, e microcefalia, a manifestação mais grave de um espectro de defeitos congênitos. Gestantes infectadas podem transmitir o vírus ao feto e essa forma de transmissão da infecção pode resultar em aborto espontâneo, óbito fetal ou malformações congênitas, como a microcefalia. <br>  Deve-se ficar atento para o aparecimento de outros quadros neurológicos, tais como, encefalites, mielites e neurite óptica, entre outros.;
