="Filtros Utilizados"
="Exercício";="2025";="Período";="01/01/2025 a 31/12/2025"
="Unidade Gestora";="PREFEITURA MUNICIPAL";="Apresentar Por";="FUNÇÃO/PROGRAMA"
="Despesas por Função"
="Descrição";="Acumulado até o Período - Dotação Inicial";="Acumulado até o Período - Créditos Adicionais/Reduções";="Acumulado até o Período - Dotação Atualizada";="No Período - Valor Empenhado";="No Período - Valor Em Liquidação";="No Período - Valor Liquidado";="No Período - Valor Pago"
="Administração";="R$ 18.874.004,91";="R$ 3.816.008,69";="R$ 22.690.013,60";="R$ 22.304.112,05";="R$ 0,00";="R$ 20.976.553,10";="R$ 20.463.876,62"
="Agricultura";="R$ 510.000,00";="R$ -1.515,27";="R$ 508.484,73";="R$ 474.324,89";="R$ 0,00";="R$ 462.024,89";="R$ 462.024,89"
="Assistência Social";="R$ 9.555.384,56";="R$ 1.533.030,07";="R$ 11.088.414,63";="R$ 8.445.787,78";="R$ 0,00";="R$ 8.215.069,01";="R$ 7.830.900,82"
="Comércio e Serviços";="R$ 216.000,00";="R$ -19.160,48";="R$ 196.839,52";="R$ 121.704,97";="R$ 0,00";="R$ 64.960,00";="R$ 62.800,00"
="Comunicações";="R$ 130.000,00";="R$ -30.000,00";="R$ 100.000,00";="R$ 89.355,80";="R$ 0,00";="R$ 89.355,80";="R$ 86.518,68"
="Cultura";="R$ 3.701.395,68";="R$ 1.220.996,34";="R$ 4.922.392,02";="R$ 4.852.474,15";="R$ 0,00";="R$ 4.691.999,21";="R$ 4.485.263,79"
="Desporto e Lazer";="R$ 4.010.100,00";="R$ 938.466,86";="R$ 4.948.566,86";="R$ 4.213.743,45";="R$ 0,00";="R$ 3.400.316,71";="R$ 3.243.214,35"
="Direitos da Cidadania";="R$ 671.000,00";="R$ 1.416.386,90";="R$ 2.087.386,90";="R$ 1.591.614,36";="R$ 0,00";="R$ 1.585.304,98";="R$ 1.577.231,88"
="Educação";="R$ 56.506.000,00";="R$ 11.238.271,41";="R$ 67.744.271,41";="R$ 61.294.992,09";="R$ 0,00";="R$ 60.199.237,79";="R$ 59.247.432,70"
="Encargos Especiais";="R$ 12.466.000,00";="R$ 2.203.984,14";="R$ 14.669.984,14";="R$ 14.649.661,23";="R$ 0,00";="R$ 14.649.661,23";="R$ 14.470.451,77"
="Energia";="R$ 4.341.000,00";="R$ 1.966.623,26";="R$ 6.307.623,26";="R$ 3.526.864,51";="R$ 0,00";="R$ 3.277.992,19";="R$ 3.277.992,19"
="Gestão Ambiental";="R$ 1.428.384,56";="R$ 426.874,19";="R$ 1.855.258,75";="R$ 1.207.967,06";="R$ 0,00";="R$ 1.128.214,16";="R$ 1.050.858,03"
="Habitação";="R$ 1.155.000,00";="R$ 7.245.065,31";="R$ 8.400.065,31";="R$ 1.309.146,88";="R$ 0,00";="R$ 109.321,72";="R$ 82.642,54"
="Indústria";="R$ 69.500,00";="R$ 1.909.612,01";="R$ 1.979.112,01";="R$ 0,00";="R$ 0,00";="R$ 0,00";="R$ 0,00"
="Judiciária";="R$ 4.974.000,00";="R$ 72.428,66";="R$ 5.046.428,66";="R$ 5.044.664,99";="R$ 0,00";="R$ 4.978.636,67";="R$ 4.968.736,73"
="Previdência Social";="R$ 10.000,00";="R$ -10.000,00";="R$ 0,00";="R$ 0,00";="R$ 0,00";="R$ 0,00";="R$ 0,00"
="Reservas";="R$ 1.200.000,00";="R$ -1.185.118,01";="R$ 14.881,99";="R$ 0,00";="R$ 0,00";="R$ 0,00";="R$ 0,00"
="Saneamento";="R$ 2.445.500,00";="R$ -614.401,56";="R$ 1.831.098,44";="R$ 1.693.403,10";="R$ 0,00";="R$ 1.388.849,74";="R$ 1.359.132,31"
="Saúde";="R$ 62.946.377,71";="R$ 23.939.808,94";="R$ 86.886.186,65";="R$ 82.186.075,50";="R$ 0,00";="R$ 74.785.290,81";="R$ 73.415.583,84"
="Segurança Pública";="R$ 1.636.352,58";="R$ 243.842,65";="R$ 1.880.195,23";="R$ 1.453.645,81";="R$ 0,00";="R$ 1.208.174,06";="R$ 1.123.185,08"
="Trabalho";="R$ 481.000,00";="R$ 130.432,29";="R$ 611.432,29";="R$ 607.684,53";="R$ 0,00";="R$ 596.375,80";="R$ 591.153,94"
="Transporte";="R$ 1.959.500,00";="R$ 373.368,26";="R$ 2.332.868,26";="R$ 2.326.801,57";="R$ 0,00";="R$ 2.256.588,17";="R$ 2.144.337,84"
="Urbanismo";="R$ 12.413.500,00";="R$ 293.595,55";="R$ 12.707.095,55";="R$ 12.035.354,10";="R$ 0,00";="R$ 10.252.813,08";="R$ 9.450.244,45"
="Totais";="R$ 201.700.000,00";="R$ 57.108.600,21";="R$ 258.808.600,21";="R$ 229.429.378,82";="R$ 0,00";="R$ 214.316.739,12";="R$ 209.393.582,45"
="PRONIM TB - 04/06/2026 01:09:34 - Funcao"
