="Filtros Utilizados"
="Vínculo";="TODOS";="Unidade";="PREFEITURA MUNICIPAL DE ARCOS"
="Mês";="01/2025";="Apresentar Por";="CARGOS"
="Gestão de Pessoas / Cargo"
="Cargo";="Servidores";="Salário Base";="Vencimentos Totais";="Descontos";="Líquido"
="Agente Combate a Endemias";="43";="R$ 130.548,00";="R$ 155.232,43";="R$ 49.305,97";="R$ 105.926,46"
="Agente Comunitario de Saude";="67";="R$ 203.412,00";="R$ 229.257,95";="R$ 59.681,62";="R$ 169.576,33"
="Agente De Administracao";="5";="R$ 12.965,25";="R$ 23.641,96";="R$ 7.489,43";="R$ 16.152,53"
="Ajudante Servico Publico";="47";="R$ 75.680,03";="R$ 131.469,88";="R$ 31.649,66";="R$ 99.820,22"
="Analista de Finanças";="1";="R$ 3.037,10";="R$ 4.454,41";="R$ 333,06";="R$ 4.121,35"
="ANALISTA DE PATRIMONIO";="2";="R$ 6.076,90";="R$ 6.651,85";="R$ 642,77";="R$ 6.009,08"
="ASSESSOR DE A. INSTITUCIONAIS";="1";="R$ 2.593,05";="R$ 6.131,10";="R$ 1.274,30";="R$ 4.856,80"
="Assessor de Gestão Escolar";="4";="R$ 16.273,95";="R$ 15.731,49";="R$ 3.810,16";="R$ 11.921,33"
="Assessor de Mídias";="2";="R$ 6.922,92";="R$ 6.692,16";="R$ 668,16";="R$ 6.024,00"
="Assessor de O. e S. Públicos";="6";="R$ 12.600,12";="R$ 11.297,05";="R$ 896,46";="R$ 10.400,59"
="Assessor Juridico";="3";="R$ 8.637,09";="R$ 8.349,19";="R$ 2.089,95";="R$ 6.259,24"
="Assistente";="49";="R$ 105.611,05";="R$ 135.353,76";="R$ 28.557,41";="R$ 106.796,35"
="Assistente de Admnistração";="6";="R$ 12.039,84";="R$ 15.034,98";="R$ 2.859,16";="R$ 12.175,82"
="Assistente Social";="6";="R$ 24.714,90";="R$ 31.440,44";="R$ 10.331,13";="R$ 21.109,31"
="Atendente";="20";="R$ 40.515,56";="R$ 53.963,18";="R$ 14.876,40";="R$ 39.086,78"
="Auxiliar De Administracao";="17";="R$ 41.460,94";="R$ 68.780,42";="R$ 25.113,49";="R$ 43.666,93"
="AUXILIAR DE FARMACIA";="3";="R$ 6.019,92";="R$ 7.815,48";="R$ 629,94";="R$ 7.185,54"
="Auxiliar De Programacao";="1";="R$ 5.010,20";="R$ 8.517,34";="R$ 2.145,62";="R$ 6.371,72"
="Auxiliar Serv.Administrativo";="137";="R$ 218.513,95";="R$ 416.495,73";="R$ 132.757,12";="R$ 283.738,61"
="BIOMEDICO";="4";="R$ 15.365,81";="R$ 15.363,03";="R$ 3.405,94";="R$ 11.957,09"
="Chefe de Departamento";="13";="R$ 36.149,01";="R$ 38.398,02";="R$ 5.441,86";="R$ 32.956,16"
="Chefe de Gabinete";="2";="R$ 5.398,15";="R$ 5.218,21";="R$ 887,27";="R$ 4.330,94"
="Conselheiro Tutelar";="6";="R$ 13.662,00";="R$ 14.421,00";="R$ 1.502,82";="R$ 12.918,18"
="Cont. Adm. Educador Físico";="6";="R$ 10.027,80";="R$ 12.021,57";="R$ 790,29";="R$ 11.231,28"
